,method,totalTime,fileSize,fileName
0,ECB,0.000190258026123,1.0,file-example.txt
1,ECB,0.0001811981201171,1.0,file-example.txt
2,ECB,0.0001766681671142,1.0,file-example.txt
3,ECB,0.0001931190490722,1.0,file-example.txt
4,ECB,0.0001704692840576,1.0,file-example.txt
5,ECB,0.0002119541168212,1.0,file-example.txt
6,ECB,0.0001931190490722,1.0,file-example.txt
7,ECB,0.0001909732818603,1.0,file-example.txt
8,ECB,0.00018310546875,1.0,file-example.txt
9,ECB,0.0001802444458007,1.0,file-example.txt
10,ECB,0.0001821517944335,1.0,file-example.txt
11,ECB,0.000176191329956,1.0,file-example.txt
12,ECB,0.0001916885375976,1.0,file-example.txt
13,ECB,0.0001869201660156,1.0,file-example.txt
14,ECB,0.0001773834228515,1.0,file-example.txt
15,ECB,0.2608091831207275,23896452.0,kabupaten.txt
16,ECB,0.279252290725708,23896452.0,kabupaten.txt
17,ECB,0.3680813312530517,845.0,kabupaten.txt
18,ECB,0.2798571586608886,23896452.0,kabupaten.txt
19,ECB,0.0001993179321289,11.0,file-example.txt
20,ECB,0.0001838207244873,11.0,file-example.txt
0,ECB,0.2868807315826416,23896452.0,kabupaten.txt
